'2009-04-19',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-20', '70% CEOs see more pain but confident about capex: Poll  ', 'Asit C. Mehta neutral on Infosys Techonologies  ', 'IT sector needs to be visa independent: Narayana Murthy  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-21', 'Exit Infosys Technologies: Bonanza  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-23',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-25',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-27', 'Hold Infosys: P Sekhar  ', 'Institutional investors up stake in top 3 IT cos   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-03',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-04', 'Religare bullish on Infosys, TCS  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-05', 'Buy Infosys Technologies on dips: Mohoni  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-09',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-10',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-12',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-13',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-15',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-16',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-17',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-18',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-19', 'Stay with IT stocks: P Sekhar  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-20',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-22', 'IT vendors see more revenues from maintenance services  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-23',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-25',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
